,Text
123,"Get ready for a new deadly Hantavirus.....😢😢😢😢😢 The world is still finding a solution to skip pandemic Coronavirus, and China has opened a new chapter of deadly Hantavirus."
124,Dogs and cats don’t spread corona virus!! #corona #virus #QuarentineLife #stayathome #petlovers #doglovers #catlovers #dogs #cats
125,Quarantine results نتایج قرنطینه #stayhome #quarantine #corona #coronavirus #results #art #artist #graphic #graphicdesign #graphicdesigner #graphist #قرنطینه #کرونا
126,Experts: Trump’s Touting of an Untested “Game Changer” Coronavirus Drug Is Dangerous https://www.vanityfair.com/news/2020/03/trumps-touting-of-an-untested-coronavirus-drug-is-dangerous?utm_source=twitter via @VanityFair
127,Even more important now!!! PLZ SIGN! We Demand Fundamental & Direct Financial Relief For All During The #Covid-19 Emergency http://chng.it/htdrYQF4 #covid19 #coronavirus #pandemic
128,تمام اينباكس ايميل من پر شده از تاپيك corona virus 🦠
129,só o corona vírus mesmo pra fazer um curso de *medicina veterinária* ter aula a distância
130,اینا موش و خفاش باهم میخورن یا جدا جدا؟ (می‌خوام بدونم منتظر محصول ترکیبی کروناهانتا هم باشیم یا نه) #Hantavirus 😫 #coronavirus 😩 #🦇 #🐁
131,TE AMO AMIGA
132,"Protest against Corona virus in Alexandria, Egypt The PM of Coronastan resigned immediately after the protests #CoronavirusLockdown #COVIDー19 #COVID19 #Egypt"
133,#Iran Iranian authorities revoke approval for MSF coronavirus treatment center #ReliefWeb
134,BREAKING: First child in US reportedly dies from coronavirus 
135,Please find a solution for corona virus
136,Americans want to know why Trump can’t ‘walk and chew gum’ during coronavirus crisis: CNN analyst 
137,#Coronavirus in #Indiana: What will happen if schools are closed longer than May 1? https://www.indystar.com/story/news/education/2020/03/24/coronavirus-indiana-what-happen-if-schools-closed-longer/2899880001/ via @indystar
138,"Italy’s coronavirus deaths rise by 743 in 24 hours, reversing recent decline in daily fatalities "
139,Estos son los que van a sacarnos de la crisis económica del coronavirus... Meterles buenos puros y que financien la recuperación del país...
140,New York hospitals treating coronavirus patients with vitamin C 
141,My friend just tested positive for corona virus. Dear 2020... I’m begging you to stop this shit !!!!!! Oh god i am so done with this fucking year already.
142,"Don’t let coronavirus distract you from the fact that they still don’t give a fuck, bitch"
143,Six New Cases Bring Total #Coronavirus Infections in #Kurdistan to 91 #BaghdadPost
144,Truer words have never been spoken. You couldn't get a bigger bunch of useless spastic cunts than those at @nswpolice #COVIDIDIOTS #coronavirus #Coronaaustralia #fuckthepolice #getarealjob
145,#StayAtHomeOrder #COVID19 #coronavirus #شیراز #کرونا #درخانه_بمانیم
146,Dúvidas sobre o período de confinamento por conta da pandemia do #coronavirus #QCQuéSaber ?
147,"@mennawjerr Corona virus is the worst that Happened to 2020, so is Arze Chediac to Menna w Jerr"
148,.
149,Bipartisan #HoldChinaAccountable Financially Accountable For Coronavirus Outbreak #GlobalPandemic China
150,#coronavirus
151,The Islamic State kills Iranians with the Corona virus in order to lift sanctions #COVIDSanctionsLie
152,Live movie with coronavirus🚁 
153,https://ir.voanews.com/a/ortagus-wuhan-virus/5343373.html #COVID19 #coronavirus #IslamicRepublicVirus
154,بعد از #کرونا و‌ در دوران نقاهت چه‌کار کنیم؟ بیماران کرونایی پس از ترخیص، نیاز به مراقبت‌های خاص و ویژه دارند، چون تا ۲هفته احتمال حامل بودن ویروس را دارند و همچنین احتمال بازگشت بیماری در آنها بسیار بالا است. اما اقدامات مورد نیاز در دوران #نقاهت پس از کرونا چیست؟ #coronavirus 
155,I do NOT want to die a virgin so this coronavirus better pack it’s shit up
156,رد کمک نبود ، رد تحقیر بود . آن هم سمت کسانی که هیچ کم کاری ای در اثبات دشمنی شان با ما نداشتند . اگر حافظه مان ضعیف است ، حداقل تاریخ بخوانیم . بعضی ها یکسال پیش را هم فراموش می کنند ، چه برسد به 100 سال گذشته تا کنون . #كرونا #جاسوسان_بدون_مرز #پزشکان_بدون_مرز #coronavirus
157,"Chuck Schumer: Longest Shutdown In History Accomplished Nothing But ""Pain And Suffering"" — #flashback b4 #coronavirus crisis "
158,Coronavirus quarantines causing home fitness programs to skyrocket https://video.foxbusiness.com/v/6143536717001/ yay! Love @beachbody workouts! They are keeping me going through all of this. #athomefitness #workoutathome
159,"Do not doubt that if sanctions are lifted against the Islamic Republic, their missile range will reach the WhiteHouse. They fired missiles at the Iranian people, Mahan Airlines transported Corona virus to Iran, they are killers @realDonaldTrump @SecPompeo #COVIDSanctionsLie"
160,"India is to impose a nationwide lockdown in an attempt to slow the spread of the coronavirus, Prime Minister Narendra Modi has announced. "
161,هلاک عقید جاوید مهری المجرم و القاتل الشباب الایرانی بسب مصابه بکرونا #إيران #نظام_الملالي #الارهاب #الشرق_الأوسط #ویروس_کرونا #coronavirus #COVIDー19
162,"Do not doubt that if sanctions are lifted against the Islamic Republic, their missile range will reach the WhiteHouse. They fired missiles at the Iranian people, Mahan Airlines transported Corona virus to Iran, they are killers @realDonaldTrump @SecPompeo #COVIDSanctionsLie"
163,o ano q eu procurei da um jeito na minha vida sem esse corona vírus p me atormentar
164,#StayAtHome #coronavirus 
165,"Do not doubt that if sanctions are lifted against the Islamic Republic, their missile range will reach the WhiteHouse. They fired missiles at the Iranian people, Mahan Airlines transported Corona virus to Iran, they are killers @realDonaldTrump @SecPompeo #COVIDSanctionsLie"
166,parem de ter corona vírus 😡😡😡
167,ela é impecável
168,"Y’all miss your ex, I miss life without the corona virus"
169,"Do not doubt that if sanctions are lifted against the Islamic Republic, their missile range will reach the WhiteHouse. They fired missiles at the Iranian people, Mahan Airlines transported Corona virus to Iran, they are killers @realDonaldTrump @SecPompeo #COVIDSanctionsLie"
