,Text
166,"@_danielmartin_ hola Dani me gustaría que mandaras un saludo a mi hija @_Monii92_ súper forofa del Atleti y muy fan tuya, trabaja en una farmacia y es posible infectada del Coronavirus esta aislada da en su pequeña habitacion. Le haría mucha ilusión. Muchas gracias"
167,¿Cómo podemos usar los datos contra el coronavirus? https://www.eldiario.es/canariasahora/nekuni/bits/datos-coronavirus-app-privacidad_0_1008949570.html #ProteccióndeDatos #Covid-19
168,"Pues no,no había alerta del CSIC en Enero: Comunicado sobre la investigación del coronavirus desarrollada en el CSIC https://www.csic.es/es/actualidad-del-csic/comunicado-sobre-la-investigacion-del-coronavirus-desarrollada-en-el-csic"
169,Mi tutor de TFG estaba en el comité del Nuevo Orden Mundial que diseñó el coronavirus y por eso me hizo hacer todo el trabajo a principio de curso
170,Mediapro plantea un ERTE para 1.200 personas en España por el coronavirus vía @Vertele
171,Les erreurs commises avec la gestion du coronavirus en Espagne et ses consequences. https://tinyurl.com/udetlkv #Confinementotal #confinementtotal #CoronavirusFrance #COVID19 #Covid_19fr
172,Bill Gates quiere una vacuna para el coronavirus de inmediato: dona 100 millones de dólares https://www.eleconomista.es/status/noticias/10341661/02/20/Bill-Gates-quiere-una-vacuna-para-el-coronavirus-de-inmediato-dona-100-millones-de-dolares.html vía @elEconomistaes
173,Un iniciativa muy interesante. Hackathon contra el coronavirus 
174,#EFETV | Argentina reporta dos nuevas muertes por #coronavirus y refuerza los controles https://bit.ly/3ah4rj5
175,India confina a sus 1.300 millones de habitantes por el coronavirus http://dlvr.it/RSVW0M
176,"La mujer, de 63 años, estaba en aislamiento domiciliario por posible contagio de coronavirus "
177,💪 Gran gesto de Guardiola en la lucha contra el coronavirus 👏 Donó este martes un millón de euros para material sanitario 
178,Abascal supera el coronavirus tras una semana de cuarentena 
179,"China confirma ""importante"" repunte de contagios locales e ""importados"" por coronavirus "
180,Es la principal razón por la que pensaba que iba a haber direct esta semana pero creo que se habría anunciado hoy. No se que cojones van a decir en la reunión xD. Seguramente digan que la falta de información es por el coronavirus
181,Ganas de cambiar tu armario con coronavirus?
182,#Internacional | La nueva guía de la agencia describe cómo los hospitales pueden reutilizar los ventiladores de transporte en ambulancias #coronavirus 
183,"Hoy se ha actualizado el procedimiento de actuación para los servicios de prevención de riesgos laborales frente al #COVID19, elaborado por @sanidadgob Os dejamos ⬇️, el enlace para que podáis verlo https://www.mscbs.gob.es/en/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/PrevencionRRLL_COVID-19.pdf @empleogob #sitss #coronavirus "
184,Un sindicato de médicos lleva a Sanidad al Supremo por no tener equipos de protección contra el coronavirus 
185,Nos las prometíamos muy felices los periodistas en 2020 tras un 2019 con tropecientas citas electorales y nos llega el coronavirus. Es increíble.
186,La falta de material de protección contra el coronavirus eleva la cifra de sanitarios contagiados: 5.400 https://www.elmundo.es/ciencia-y-salud/salud/2020/03/24/5e7a0c32fdddffbe7a8b4633.html vía @elmundoes
187,Can we call for @DrAmyActon to lead the U.S. Coronavirus Task Force? Is that something that can happen?
188,Así se intuba (boca abajo) a los pacientes de coronavirus 
189,Pilar Rubio y Sergio Ramos: han preparado a su hijo mayor sobre el coronavirus #YoLeoSemana
190,"Héroes de guerra... luchando con ""tirachinas""... #coronavirus #DeEstaSalimosJuntos #AplausosSanitarios"
191,Glamour en tiempos de coronavirus...
192,"Good news. Alberto Marrero, Atlético de San Luis’ president, has almost fully recovered from #coronavirus https://en.as.com/en/2020/03/24/football/1585079275_748489.html"
193,El coronavirus pone a prueba las redes en España http://dlvr.it/RSVVtQ
194,"Que dice el PNV que a los vascos y las vascas que lo que les importa es el final de la Copa, que enfermar o morir por coronavirus o tener 2 trabajadores enterrados bajo toneladas de basura tóxica en #Zaldibar que eso, que no..."
195,"El problema de este hombre no va a ser el coronavirus, el problema lo va a tener como pongan un control de alcoholemia a la salida porque esa manera de mirar los Santos y vírgenes!!!"
196,Pepe Reina cree que sufrió “el bicho” del coronavirus http://dlvr.it/RSVVjv #Deportes #Fútbol
197,"Las bajas de sanitarios por coronavirus en la Comunidad de Madrid se ceban en una plantilla ya menguada por los recortes. El número de médicas, enfermeros, técnicos y auxiliares al iniciar 2019 era menor que 9 años antes "
