,Text
159,E eu que brincava tanto com o corona vírus e nem sabia sofrohhh #quarentena #coronavirus #COVID19
160,"Selon Mundo Deportivo, Lionel Messi a effectué un don d'1M€ à un hôpital barcelonais ainsi qu'à un centre médical argentin afin de les aider dans la lutte contre la pandémie du coronavirus. 🙏 "
161,"malheureusement, à cause du coronavirus, camila et son équipe ont choisi de reporter la tournée.. elle en dira plus dans les jours à venir... 💔 "
162,I AM WAITING TO SEE OUR FOOTBALLERS DONATING SOMETHING TO HELP FIGHT CORONAVIRUS.GIVE BACK TO SOCIETY WHERE IT ALL STARTED#STAYHOMECORONAVIRUSKILLS
163,"Hormis l’aspect financier, il n’a pas tort en disant « ... des sous-continents qui aujourd’hui ne sont pas contaminés mais demain pourraient être un nouveau risque pour nous ». Le #coronavirus va faire le yoyo entre les continents. Impression qu’on est pas sortis de l’auberge..."
164,"Con 49.619 casos y 615 muertos, la OMS asume que Estados Unidos se va a convertir en el principal foco de la pandemia. Estas son las últimas noticias de la pandemia del coronavirus en América"
165,"Conspirationniste et antisémite, cet ignare post-fasciste polonais se présente comme éditorialiste à Solidarnosc… #abruti #raoult #chloroquinegate #COVID19 #COVID2019 #COVIDー19 #poland #obscurantism #coronavirus #confinementtotal #ResterChezVous #RestezChezVousBordel https://twitter.com/patrick_edery/status/1242333380504682496"
166,Any chance you can ask @RishiSunak if he can throw us self employed a bone. We are about to go to the wall due to no work as a result of lost contracts due to Coronavirus. Genuinely struggling to survive.
167,RIP Manu Dibango 🙏🏽🙏🏽🙏🏽 #ManuDibango #CoronaVirus #RIP #RapFr #RapFrancais #Rap #HipHop #HHS #HipHopSpirit
168,@NYGovCuomo thank you for not being a soulless money grubbing coward who folds under pressure of personal debts instead of caring about lives. The President will have blood on his hands if he re opens the country #Trump #CoronavirusLockdown #COVID19 #coronavirus #nycshutdown
169,Le coronavirus existe depuis longtemps c'est une famille de virus avec une progression de 90% depuis 2000 ou le 1er virus étais arriver le covid-19 est le nom du virus et en se moment je raconte de la merde
170,"Por coronavirus, deplano nos van a soltar más casos en estos dias 😔"
171,Coronavirus: un premier patient contaminé porte plainte pour « entrave aux mesures d’assistance” 
172,#COVID19 #coronavirus 
173,"fez pouco do corona vírus de novo e disse não ter entendido as medidas de proteção tomadas pelos governos estaduais e municipais. falou de esteria. se o negócio sair do controle, esse cara não fica mais na presidência..."
174,ja não basta essa porra de corona vírus a gnt ainda tem um LOUCO na presidência
175,"Moscow's coronavirus outbreak much worse than it looks, Putin ally... "
176,"Depuis qu’ils ont annoncé le coronavirus en France, la mère veut pas que ma soeur et moi on l’approche de peur qu’on la contamine. Donc ça fait 3 semaines que je n’ai pas eu de contact physique avec quiconque."
177,Ici on parle d'un Corona virus qui a été modifié pour attaquer directement les poumons ! Ça ne vous paraît pas hallucinant comme coïncidence ? Pour moi en tout cas la théorie de fabrication humaine est plus plausible que celle d'un pangolin ou d'une chauve-souris..
178,##Coronavirus : Exonération de cotisations de mutuelle et de prévoyance https://www.lhotellerie-restauration.fr/journal/juridique-social-droit/2020-03/coronavirus-exoneration-de-cotisations-de-mutuelle-et-de-prevoyance.htm #assurance #mutuelle #santé
179,#Coronavirus : vos questions sur les tests pour le coronavirus et le remboursement des ... https://www.francetvinfo.fr/replay-radio/le-vrai-du-faux/coronavirus-vos-questions-sur-les-tests-pour-le-coronavirus-et-le-remboursement-des-hospitalisations_3874467.html #assurance #mutuelle #santé
180,La distanciation physique mais la solidarité sociale. ❤️🙏🏼🌺 #Covid_19fr #coronavirus
181,"jai une théorie : coronavirus = teletravail , teletravail = rester seul , rester seul = internet , internet = pornhub , pornhub = papier toilettes"
182,"Le personnel soignant, en première ligne dans la lutte contre la pandémie de coronavirus 👇 "
183,'Coughing while Asian': living in fear as racism feeds off coronavirus panic 
184,Same global lies. Impressive. 😷🤔🤥 #coronavirus
185,"""Tant qu’on n’aura pas les conditions sanitaires adéquates, on se rebellera"" : les prisons françaises sous la pression du coronavirus "
186,Vol au dessus d’un nid de coronavirus
187,"Class war in the making? Coronavirus quarantines pit well-off hermits against serfs who supply them -- ""the average person was too busy working to feel the promise of the American dream slipping through their fingers"" "
188,Watching Coronavirus commercials while you are home is trifling
189,"Coronavirus : terrorisé par Raoult, l’institut du mari de Buzyn veut dépister 800 patients cette semaine https://lecourrier-du-soir.com/coronavirus-terrorise-par-raoult-linstitut-du-mari-de-buzyn-veut-depister-800-patients-cette-semaine/ via @Le courrier du soir"
190,Donc on va devoir faire une prise de sang pour savoir si on a eu le coronavirus sans le savoir ? En vrai j'ai peur ya moyen que je l'ai eu 😬
191,A este punto de la PANDEMIA ya ni siquiera me da por cuestionar de que China 🇨🇳 haya hecho algunas Fosas Comunes para deshacerse de las víctimas del #COVID19 Los gobiernos deberán tomar similares medidas en todo el mundo. Esto durará más de dos meses #coronavirus
192,"#Coronavirus Pénurie de masques : ""Les services de l'Etat ont abandonné les médecins et la population du Haut-Rhin"" La situation est effroyable à l'hôpital de Mulhouse !!! "
193,"Coronavirus : huit questions sur l’hydroxychloroquine, possible traitement du Covid-19 https://www.lemonde.fr/les-decodeurs/article/2020/03/24/huit-questions-sur-l-hydroxychloroquine-possible-traitement-du-covid-19_6034290_4355770.html via @lemondefr"
194,"Le coronavirus pourrait faire perdre 40 milliards d'euros au tourisme https://fr.fashionnetwork.com/news/Le-coronavirus-pourrait-faire-perdre-40-milliards-d-euros-au-tourisme,1200602.html?src=twt#twt"
