,0
106,"On Saturday, Italy has fined 5000 people, not respecting the rules of confinement - but unable to provide masks to the population #badpolitics #misinformation http://www.ilgiornale.it/news/cronache/coronavirus-casa-fino-maggio-giro-ancora-troppi-furbetti-1847612.html via @ilGiornale"
107,"""Rights groups and government critics say that while it is clear coronavirus brings extraordinary challenges, some checks and balances should be placed on the government response"" https://www.theguardian.com/world/2020/mar/30/hungary-jail-for-coronavirus-misinformation-viktor-orban Protect #mediafreedom #fundamentalrights"
108,"+++ #automatica2020 postponed – new date: December 8 to 11, 2020 +++ Due to the increasing global spread of coronavirus, Messe München feels compelled to postpone automatica 2020. More information: http://automatica-munich.com/en/trade-fair/about/latest-information/"
109,"With the #COVID19 pandemic bringing about states of emergency, massive public spending packages and abundant misinformation, it is essential that governments increase and protect #transparency and accountability. ➡️Read more &gt; https://bit.ly/3bacYnO #coronavirus "
110,"Our social media team is following the example of @Daimler: During the #COVID19 pandemic, we will be using our channels to share worldwide relevant information related to the coronavirus from trusted health authorities. Stay healthy! #FlattenTheCurve"
111,Physical distancing and good cycling infrastructure just works out. #coronavirus #PhysicalDistancing #köln
112,"Interesting move by my last company, Generali Asia, in offering Coronavirus insurance in China. #generaliasia"
113,Coronavirus. California. Teenage boy died after being turned away from urgent care for not having insurance | The Independent 
114,"In the light of #coronavirus, Drezner’s “The System worked” appeared in many discussions. His revision of the argument is worrisome: “The sense of shared interests is much weaker now than in 2008, and the distribution of power is more fragmented.” "
115,"#COVID2019 Who is it safe to have sex with during the pandemic? How can I use camming, sex toys, and more to keep things interesting? And when will it be safe to resume a normal sex life? #CoronaKrise https://www.them.us/story/sex-and-coronavirus-questions-answered"
116,The number of Coronavirus cases in Russia is REALLY interesting. A very wide border with China and only 658 infected🤔🤷🏻‍♀️ Nice! #COVIDSanctionsLie
117,"Macron announced on Wednesday that France would launch a new military operation and a ""massive"" investment plan for hospitals to help contain the coronavirus pandemic. "
118,Homeward bound - Corona virus or no Corona Virus #coranovirus #Englandhereicome
119,Switzerland’s first Corona virus case confirmed 
120,B*tch don't kill my vibe. Recording the last scenes of Shutter Island. #composer #komponist #coronavirus #filmcomposer #beatmaker #beatproducer #beatproduzent #depression #deutschrap #beats #rap #rapper #filmscore #trap
121,Just back in Berlin after a weekend in Rome to watch @Scotlandteam in the #SixNations. One of our group got sent home from work today and told to visit her doctor. Doctor sent them to Charité (Main Berlin Hospital). No symptoms. Just #coronavirus panic. Crazy. Health.
122,Good News from China 🇨🇳 : Only 5 newly confirmed COVID19 infection cases in China mainland outside of Hubei province on Tuesday 25th. #coronavirus 
123,Here we go. Coronavirus is in Switzerland already 
